"company","latitude","longitude","biz_type","naics8_descriptions"
"FOODS CO",37.72981,-122.39926,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"RES ANTIQUA INC",37.72922,-122.400286,"art","ART DEALERS"
"SPORTSMAN BARBER SHOP",37.72,-122.396983,"barber","BARBER SHOPS"
"TED'S MARKET",37.772874,-122.41624,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"SAFEWAY",37.766516,-122.409273,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"NARAL PRO CHOICE CALIFORNIA",37.767837,-122.417395,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"RAINBOW COOPERATIVE GROCERY",37.768785,-122.414946,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"RAINBOW GROCERY",37.769114,-122.415071,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"GAS N SHOP",37.763827,-122.417053,"grocery","CONVENIENCE STORES"
"FOODS CO",37.767857,-122.416118,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"WHOLE FOODS MARKET",37.767567,-122.411155,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"EMPIRE TEA ROOM",37.766752,-122.410576,"coffee","ALL OTHER SPECIALTY FOOD STORES"
"REF CORP",37.770891,-122.413455,"coffee","ALL OTHER SPECIALTY FOOD STORES"
"LOST ART SALON",37.769387,-122.41747,"art","ART DEALERS"
"BRIAN GROSS FINE ART",37.766453,-122.406723,"art","ART DEALERS"
"CATHARINE CLARK GALLERY",37.766453,-122.406723,"art","ART DEALERS"
"JACK FISCHER GALLERY",37.765516,-122.40719,"art","ART DEALERS"
"C2C ART LTD",37.7665,-122.4067,"art","ART DEALERS"
"TANYA BONAKDAR GALLERY",37.765126,-122.41191,"art","ART DEALERS"
"CONTEMPORARY ART GALLERY",37.765126,-122.41191,"art","ART DEALERS"
"ART DEPARTMENT",37.76676,-122.410576,"art","ART DEALERS"
